edgeID,group0,group1,group2
7747,0,4,1
7748,2,9,1
7756,1,0,0
7758,3,6,2
7765,1,1,0
7787,8,9,2
7788,7,1,4
7789,10,11,6
7792,1,6,2
7797,3,3,1
7810,4,7,0
7811,4,4,0
7813,3,1,1
7814,0,1,0
7815,0,1,0
7816,0,0,0
7825,2,3,2
7826,1,0,2
7827,3,2,2
7835,1,1,0
7840,0,3,0
7843,21,9,11
7847,22,16,14
7848,1,3,1
7852,0,0,0
7859,1,0,1
7867,13,11,3
7876,2,2,4
7877,16,16,6
7880,1,0,0
7881,1,0,0
7900,1,0,0
7901,19,7,12
7916,6,7,0
7918,3,4,4
7920,2,6,6
7921,2,6,3
7926,6,2,3
7937,0,0,0
7938,1,0,1
7939,1,0,1
7946,7,2,2
7950,0,1,1
7957,2,1,3
7963,0,0,0
7964,0,2,3
7971,0,0,0
7985,7,3,0
8003,1,4,1
8005,10,12,3
8014,2,0,2
8015,2,0,0
8021,10,11,4
8029,0,3,0
8031,0,1,0
8037,2,6,1
8043,4,6,8
8048,9,10,4
8063,1,1,0
8072,2,0,3
8106,9,11,6
8121,0,0,0
8124,0,1,0
8125,0,1,0
8126,0,0,1
8217,0,0,0
8244,4,6,2
8246,2,3,2
8264,0,0,2
8265,0,0,1
8266,0,0,0
8287,0,1,0
8293,2,1,0
